Name,Address,Type,Description,Image_URL,latitude,longitude
Golden Gate Bridge,"Golden Gate Bridge, San Francisco, CA 94129",Historical,The most iconic landmark in San Francisco. Walking or biking across it gives you unreal views of the bay and instantly makes you feel like you’re in a movie,https://upload.wikimedia.org/wikipedia/commons/0/0c/GoldenGateBridge-001.jpg,37.831708,-122.480315
Alcatraz Island,"Alcatraz Island, San Francisco, CA 94133",Historical,The famous former federal prison in the middle of the bay. The ferry ride and audio tour make it such a memorable experience for anyone visiting,https://upload.wikimedia.org/wikipedia/commons/6/6b/Alcatraz_Island_photo_D_Ramey_Logan.jpg,37.797861,-122.406742
Golden Gate Park,"501 Stanyan St, San Francisco, CA 94117",Park,"A massive park filled with gardens, museums, and walking trails. It’s the perfect place to spend a relaxed afternoon exploring different parts of the city ",https://upload.wikimedia.org/wikipedia/commons/b/b3/Golden_Gate_Park_aerial.jpg,37.771866,-122.454671
Ferry Building ,"1 Ferry Building, San Francisco, CA 94111",Shopping,A waterfront marketplace packed with local food vendors and artisan shops. The farmers market days are especially fun and showcase the best of local flavors,https://upload.wikimedia.org/wikipedia/commons/0/0e/San_Francisco_Ferry_Building_%28cropped%29.jpg,37.795122,-122.393187
Peir 39,"The Embarcadero, San Francisco, CA 94133",Shopping,"A lively waterfront spot known for sea lions, shops, and bay views. It’s touristy but still such a classic first stop for visitors. ",https://upload.wikimedia.org/wikipedia/commons/5/5a/Pier_39_San_Francisco.jpg,37.798393,-122.397077
Lombard Street,"Lombard St, San Francisco, CA 94133",Cultural,The famously crooked street with dramatic turns and flower-lined curves. Watching cars slowly wind down it is such a uniquely San Francisco experience. ,https://upload.wikimedia.org/wikipedia/commons/7/75/Lombard_Street_SF.jpg,37.801318,-122.424929
Mission Dolores Park,"Dolores St & 19th St, San Francisco, CA 94114",Park,"One of the best skyline views in the city. It’s always full of people relaxing, picnicking, and enjoying the sunshine when the weather is nice.",https://upload.wikimedia.org/wikipedia/commons/e/e0/Dolores_Park_view.jpg,37.759823,-122.426011
Chinatown,"Grant Ave & Bush St, San Francisco, CA 94108",Cultural,"The oldest Chinatown in North America and full of vibrant culture, food, and history. Walking through the Dragon Gate feels like stepping into a different world. ",https://upload.wikimedia.org/wikipedia/commons/2/2a/Chinatown_San_Francisco.jpg,37.79057,-122.405599
Exploratorium,"Pier 15, The Embarcadero, San Francisco, CA 94111",Cultural,"An interactive science museum that’s fun for all ages. It’s hands-on and creative, making learning feel exciting instead of overwhelming. ",https://upload.wikimedia.org/wikipedia/commons/3/36/Exploratorium_exterior.jpg,37.80161,-122.397394
Tartine Bakery,"600 Guerrero St, San Francisco, CA 94110",Restaurant,A must-visit bakery in the Mission known for its fresh bread and pastries. It’s the kind of place where you grab coffee and sit outside to soak in the neighborhood vibe. ,https://upload.wikimedia.org/wikipedia/commons/6/63/Tartine_Bakery.jpg,37.761397,-122.424039
